relp,n
0,4.49597E-08
0.0025,0.000109477
0.005,0.000170802
0.01,0.000257394
0.015,0.000316696
0.02,0.000365387
0.03,0.00044573
0.04,0.000513439
0.05,0.000566807
0.06,0.000619949
0.07,0.000665628
0.08,0.000710453
0.09,0.00075294
0.1,0.000793179
0.125,0.000898789
0.15,0.000999094
0.175,0.001088519
0.2,0.001174976
0.225,0.001251228
0.25,0.001323253
0.275,0.001388624
0.3,0.001451073
0.35,0.00156662
0.4,0.001670567
0.45,0.001765027
0.5,0.00185108
0.55,0.001929354
0.6,0.002011406
0.7,0.002180095
0.8,0.002374096
0.9,0.00267011